measure,label,sample_type,content,stratum,tier,n_visible,n_hidden,mean_visible,mean_hidden,delta,U_stat,p_value,sig
n_replies,Reply count,zero-filled,All,1,1–9,5538,4706,0.7795232936078007,0.7592435189120272,0.020279774695773467,13145777.0,0.3889446143768175,
n_replies,Reply count,zero-filled,All,2,10–19,632,960,0.9145569620253164,0.9302083333333333,-0.01565137130801686,302776.0,0.943520923151498,
n_replies,Reply count,zero-filled,All,3,20–29,277,452,1.2382671480144405,1.174778761061947,0.06348838695249359,68563.5,0.022787509342490173,**
n_replies,Reply count,zero-filled,All,4,30–39,343,202,1.0,1.2920792079207921,-0.2920792079207921,30494.5,0.012922422724679984,**
n_replies,Reply count,zero-filled,All,5,40–49,321,198,0.9065420560747663,0.8282828282828283,0.07825922779193806,32613.0,0.5842596985949862,
n_replies,Reply count,zero-filled,All,6,50–99,890,511,0.998876404494382,0.8493150684931506,0.14956133600123134,229557.5,0.7494156123720568,
n_replies,Reply count,zero-filled,All,7,100+,1067,1239,1.1096532333645737,1.0960451977401129,0.01360803562446078,662909.5,0.8991739625366701,
n_replies,Reply count,zero-filled,Subjective,1,1–9,3079,2627,0.7784995128288406,0.7594213932242101,0.01907811960463046,4090301.0,0.4054287168407721,
n_replies,Reply count,zero-filled,Subjective,2,10–19,360,524,0.9638888888888889,0.9465648854961832,0.017324003392705678,93283.0,0.7624768404310548,
n_replies,Reply count,zero-filled,Subjective,3,20–29,157,242,1.3439490445859872,1.2933884297520661,0.05056061483392105,20707.5,0.11086815823312973,
n_replies,Reply count,zero-filled,Subjective,4,30–39,182,114,0.9945054945054945,1.1929824561403508,-0.19847696163485629,9510.5,0.19763750354830123,
n_replies,Reply count,zero-filled,Subjective,5,40–49,181,111,0.9226519337016574,0.8468468468468469,0.07580508685481058,10532.5,0.4464746000677444,
n_replies,Reply count,zero-filled,Subjective,6,50–99,466,282,1.0300429184549356,0.8297872340425532,0.2002556844123824,68795.5,0.24467291910831146,
n_replies,Reply count,zero-filled,Subjective,7,100+,573,662,1.12565445026178,1.0619335347432024,0.06372091551857761,189175.0,0.9340386913522416,
n_replies,Reply count,zero-filled,Factual,1,1–9,2459,2079,0.7808052053680358,0.759018759018759,0.021786446349276734,2570137.0,0.7221786412837596,
n_replies,Reply count,zero-filled,Factual,2,10–19,272,436,0.8492647058823529,0.9105504587155964,-0.061285752833243445,59847.5,0.820141181365815,
n_replies,Reply count,zero-filled,Factual,3,20–29,120,210,1.1,1.0380952380952382,0.06190476190476191,13842.5,0.11385255512282626,
n_replies,Reply count,zero-filled,Factual,4,30–39,161,88,1.0062111801242235,1.4204545454545454,-0.4142433653303219,5898.0,0.02095735515321005,**
n_replies,Reply count,zero-filled,Factual,5,40–49,140,87,0.8857142857142857,0.8045977011494253,0.08111658456486037,6063.0,0.9522832387690474,
n_replies,Reply count,zero-filled,Factual,6,50–99,424,229,0.964622641509434,0.8733624454148472,0.0912601960945868,46770.0,0.4060347801503321,
n_replies,Reply count,zero-filled,Factual,7,100+,494,577,1.091093117408907,1.1351819757365684,-0.04408885832766152,143885.5,0.7735424485131865,
word_count_sum,Total word count,zero-filled,All,1,1–9,5538,4706,53.6583604189238,51.80769230769231,1.8506681112314922,13130636.5,0.45986069422874787,
word_count_sum,Total word count,zero-filled,All,2,10–19,632,960,71.86075949367088,68.38541666666667,3.475342827004212,298012.0,0.5210992520977997,
word_count_sum,Total word count,zero-filled,All,3,20–29,277,452,90.74368231046931,80.77876106194691,9.964921248522401,68512.5,0.026175487792653464,**
word_count_sum,Total word count,zero-filled,All,4,30–39,343,202,73.55102040816327,86.18316831683168,-12.632147908668415,30423.5,0.012644571235865971,**
word_count_sum,Total word count,zero-filled,All,5,40–49,321,198,59.53582554517134,56.45454545454545,3.0812800906258886,32303.0,0.736260203495348,
word_count_sum,Total word count,zero-filled,All,6,50–99,890,511,70.98988764044944,70.0078277886497,0.9820598517997325,226173.0,0.859514146359874,
word_count_sum,Total word count,zero-filled,All,7,100+,1067,1239,82.29990627928773,78.21549636803874,4.084409911248983,667182.0,0.6873466911134809,
word_count_sum,Total word count,zero-filled,Subjective,1,1–9,3079,2627,53.86391685612212,52.37000380662352,1.4939130494985946,4074589.0,0.587950022579339,
word_count_sum,Total word count,zero-filled,Subjective,2,10–19,360,524,79.725,67.50763358778626,12.217366412213735,91599.5,0.43286665724285067,
word_count_sum,Total word count,zero-filled,Subjective,3,20–29,157,242,92.29936305732484,93.81818181818181,-1.5188187608569734,20476.5,0.17476657157325326,
word_count_sum,Total word count,zero-filled,Subjective,4,30–39,182,114,70.94505494505495,78.47368421052632,-7.528629265471366,9497.0,0.19695834792889422,
word_count_sum,Total word count,zero-filled,Subjective,5,40–49,181,111,58.988950276243095,56.32432432432432,2.6646259519187723,10340.0,0.6500728378636293,
word_count_sum,Total word count,zero-filled,Subjective,6,50–99,466,282,74.52789699570816,66.48581560283688,8.042081392871282,67940.5,0.40842340533281063,
word_count_sum,Total word count,zero-filled,Subjective,7,100+,573,662,85.86561954624781,75.04380664652568,10.821812899722133,191741.0,0.7293414486881677,
word_count_sum,Total word count,zero-filled,Factual,1,1–9,2459,2079,53.40097600650671,51.0971620971621,2.303813909344612,2576075.5,0.6171507840255228,
word_count_sum,Total word count,zero-filled,Factual,2,10–19,272,436,61.45220588235294,69.44036697247707,-7.988161090124123,59091.0,0.9335904520114601,
word_count_sum,Total word count,zero-filled,Factual,3,20–29,120,210,88.70833333333333,65.75238095238095,22.955952380952382,13973.0,0.08497743757099757,*
word_count_sum,Total word count,zero-filled,Factual,4,30–39,161,88,76.4968944099379,96.17045454545455,-19.673560135516652,5890.0,0.02188752187076956,**
word_count_sum,Total word count,zero-filled,Factual,5,40–49,140,87,60.24285714285714,56.62068965517241,3.6221674876847274,6094.0,0.9938843902879562,
word_count_sum,Total word count,zero-filled,Factual,6,50–99,424,229,67.10141509433963,74.34497816593887,-7.24356307159924,45952.5,0.23518684790763367,
word_count_sum,Total word count,zero-filled,Factual,7,100+,494,577,78.16396761133603,81.85441941074524,-3.690451799409203,143558.5,0.8309458862759975,
word_count_avg,Avg words/reply,conditional,All,1,1–9,2413,2028,67.36835916592962,67.60058628159591,-0.23222711566629073,2460820.0,0.7415301246500999,
word_count_avg,Avg words/reply,conditional,All,2,10–19,300,470,70.77858597883598,75.05410326670966,-4.275517287873683,67741.0,0.3594006450185294,
word_count_avg,Avg words/reply,conditional,All,3,20–29,178,247,73.70276886035313,68.65451539014293,5.048253470210199,22115.5,0.9158520284822717,
word_count_avg,Avg words/reply,conditional,All,4,30–39,173,126,81.9375997797963,67.52770562770563,14.409894152090672,11153.0,0.7312911366007382,
word_count_avg,Avg words/reply,conditional,All,5,40–49,163,98,62.588694127957936,68.17162698412699,-5.582932856169052,7818.5,0.7760367168995345,
word_count_avg,Avg words/reply,conditional,All,6,50–99,467,276,73.2850693382278,82.07423510466988,-8.789165766442082,62674.5,0.5309901648440685,
word_count_avg,Avg words/reply,conditional,All,7,100+,612,727,74.35983144941478,72.22713132552181,2.132700123892974,232138.0,0.16984439659269102,
word_count_avg,Avg words/reply,conditional,Subjective,1,1–9,1332,1118,66.7049108632442,68.85605103875453,-2.151140175510335,736741.5,0.6527919106780902,
word_count_avg,Avg words/reply,conditional,Subjective,2,10–19,168,262,72.18514030612245,76.36231205181588,-4.177171745693428,21461.5,0.6640985019630792,
word_count_avg,Avg words/reply,conditional,Subjective,3,20–29,103,138,70.29459084604716,71.98815435771958,-1.6935635116724228,6951.5,0.7721886184386023,
word_count_avg,Avg words/reply,conditional,Subjective,4,30–39,91,67,76.45117739403453,68.89577114427861,7.555406249755919,3128.5,0.779695743350385,
word_count_avg,Avg words/reply,conditional,Subjective,5,40–49,89,50,62.164205457463886,68.89888888888889,-6.734683431425005,2034.5,0.4043286154405781,
word_count_avg,Avg words/reply,conditional,Subjective,6,50–99,246,144,74.55874467673247,79.60837191358024,-5.049627236847769,17607.0,0.9225115262588571,
word_count_avg,Avg words/reply,conditional,Subjective,7,100+,325,384,74.71131990231991,71.4425460426437,3.268773859676216,66617.5,0.1206841700372033,
word_count_avg,Avg words/reply,conditional,Factual,1,1–9,1081,910,68.18585513186578,66.05815815137244,2.12769698049334,504001.5,0.341854620429484,
word_count_avg,Avg words/reply,conditional,Factual,2,10–19,132,208,68.98842592592592,73.40626335470085,-4.417837428774931,12861.0,0.326581336045613,
word_count_avg,Avg words/reply,conditional,Factual,3,20–29,75,109,78.38333333333334,64.43394495412844,13.949388379204905,4239.0,0.6705694802660973,
word_count_avg,Avg words/reply,conditional,Factual,4,30–39,82,59,88.02619047619048,65.9741397021058,22.052050774084677,2494.0,0.7555097326615974,
word_count_avg,Avg words/reply,conditional,Factual,5,40–49,74,48,63.09922779922779,67.4140625,-4.314834700772209,1863.5,0.6483934001603822,
word_count_avg,Avg words/reply,conditional,Factual,6,50–99,221,132,71.86731307907779,84.76426767676767,-12.896954597689884,13802.5,0.3986303888644568,
word_count_avg,Avg words/reply,conditional,Factual,7,100+,287,343,73.96180445570688,73.10550085504136,0.8563036006655267,50074.0,0.7077134744394802,
flesch,Flesch readability,conditional,All,1,1–9,1902,1580,60.69736274206802,60.57615030372174,0.12121243834628359,1489577.5,0.6597627275255484,
flesch,Flesch readability,conditional,All,2,10–19,237,391,61.232743221779444,61.4636768454446,-0.2309336236651589,45726.0,0.7829955123123414,
flesch,Flesch readability,conditional,All,3,20–29,152,214,59.71408069420482,59.83726510783863,-0.12318441363381538,17651.5,0.1643435448435313,
flesch,Flesch readability,conditional,All,4,30–39,154,101,59.16274188593312,60.90643414218102,-1.743692256247897,7486.0,0.6140450608406107,
flesch,Flesch readability,conditional,All,5,40–49,128,75,61.60293013899836,61.42059432268817,0.1823358163101929,4833.0,0.9358797687942126,
flesch,Flesch readability,conditional,All,6,50–99,391,225,59.91572272995503,61.55758306017857,-1.641860330223544,41352.0,0.21536895909315612,
flesch,Flesch readability,conditional,All,7,100+,518,609,60.2591321293947,59.90170674450976,0.3574253848849409,162395.5,0.3917280435138293,
flesch,Flesch readability,conditional,Subjective,1,1–9,1056,878,60.85903001115508,60.634630017824925,0.22439999333015237,463550.5,0.9978466013819601,
flesch,Flesch readability,conditional,Subjective,2,10–19,138,218,61.085688161438746,61.64431039637823,-0.5586222349394845,14611.5,0.6494513633961676,
flesch,Flesch readability,conditional,Subjective,3,20–29,87,119,59.15387369182161,59.6211368266155,-0.4672631347938889,5738.5,0.18395154226328492,
flesch,Flesch readability,conditional,Subjective,4,30–39,81,50,59.50053658370784,60.83483705833383,-1.3343004746259908,1865.0,0.4498422207422569,
flesch,Flesch readability,conditional,Subjective,5,40–49,72,41,60.91449219690238,63.99770308138212,-3.0832108844797403,1249.0,0.1762045139893631,
flesch,Flesch readability,conditional,Subjective,6,50–99,204,117,60.31124381849328,61.04309022821163,-0.7318464097183508,11353.0,0.4682276296324045,
flesch,Flesch readability,conditional,Subjective,7,100+,272,326,61.372359223713964,59.70969606051411,1.662663163199852,47934.5,0.08723013177053703,*
flesch,Flesch readability,conditional,Factual,1,1–9,846,702,60.495565299803324,60.50300900887472,-0.007443709071395688,291046.5,0.5004793133349812,
flesch,Flesch readability,conditional,Factual,2,10–19,99,173,61.43772906346648,61.2360576887768,0.2016713746896741,8580.0,0.9795505731467704,
flesch,Flesch readability,conditional,Factual,3,20–29,65,95,60.46389622047156,60.10799421800235,0.35590200246921455,3299.0,0.46351963556420794,
flesch,Flesch readability,conditional,Factual,4,30–39,73,51,58.78792859114198,60.97662736163905,-2.1886987704970764,1877.0,0.9392843519215707,
flesch,Flesch readability,conditional,Factual,5,40–49,56,34,62.48806463597891,58.31290434896899,4.175160287009916,1135.0,0.1288139596621584,
flesch,Flesch readability,conditional,Factual,6,50–99,187,108,59.48424517882239,62.11495029480942,-2.630705115987027,9374.0,0.30533316486224993,
flesch,Flesch readability,conditional,Factual,7,100+,246,283,59.028246886895374,60.122892196745056,-1.0946453098496818,33704.0,0.528773137908158,
mattr,MATTR lexical diversity,conditional,All,1,1–9,1998,1665,0.8331212673766059,0.8329597495763315,0.0001615178002744022,1666137.0,0.9299544891250789,
mattr,MATTR lexical diversity,conditional,All,2,10–19,254,411,0.8256100837820758,0.8292773463523708,-0.003667262570295038,49920.5,0.344373005916632,
mattr,MATTR lexical diversity,conditional,All,3,20–29,159,222,0.8309744211209353,0.8305425824689164,0.00043183865201890104,17382.5,0.8018622480602118,
mattr,MATTR lexical diversity,conditional,All,4,30–39,160,107,0.8308232976514145,0.8293720920360902,0.0014512056153243025,8936.5,0.5431347552718382,
mattr,MATTR lexical diversity,conditional,All,5,40–49,136,83,0.8411143884747309,0.8401900581232389,0.0009243303514919754,5709.5,0.8863811714656794,
mattr,MATTR lexical diversity,conditional,All,6,50–99,405,232,0.8262827262900084,0.8343946404902309,-0.008111914200222503,43948.0,0.17499286621359755,
mattr,MATTR lexical diversity,conditional,All,7,100+,541,647,0.8264940990501688,0.8351189754988259,-0.00862487644865706,161929.5,0.026307665119044584,**
mattr,MATTR lexical diversity,conditional,Subjective,1,1–9,1110,920,0.8329480004732507,0.829952203801757,0.0029957966714936335,525044.5,0.2719107007470475,
mattr,MATTR lexical diversity,conditional,Subjective,2,10–19,143,228,0.8269762899412625,0.8292774833934657,-0.002301193452203254,15767.5,0.595307832408059,
mattr,MATTR lexical diversity,conditional,Subjective,3,20–29,92,123,0.8272365576601713,0.8289354773656017,-0.0016989197054303462,5465.0,0.6697226288797413,
mattr,MATTR lexical diversity,conditional,Subjective,4,30–39,83,54,0.8279406803210637,0.8259760992742249,0.0019645810468388314,2371.5,0.5669087118421925,
mattr,MATTR lexical diversity,conditional,Subjective,5,40–49,76,44,0.8389834332355638,0.832516508700873,0.006466924534690777,1756.5,0.6473450034793347,
mattr,MATTR lexical diversity,conditional,Subjective,6,50–99,212,122,0.8244305504374179,0.8329536507416587,-0.00852310030424086,12068.0,0.3095298398888703,
mattr,MATTR lexical diversity,conditional,Subjective,7,100+,286,344,0.8229781455716025,0.8334601026171018,-0.010481957045499257,44586.0,0.042883539483599194,**
mattr,MATTR lexical diversity,conditional,Factual,1,1–9,888,745,0.8333378510057997,0.8366737658348667,-0.0033359148290670326,320520.0,0.27971808837804524,
mattr,MATTR lexical diversity,conditional,Factual,2,10–19,111,183,0.823850016387808,0.8292771756126459,-0.005427159224837941,9544.5,0.3868468695337164,
mattr,MATTR lexical diversity,conditional,Factual,3,20–29,67,99,0.8361070097536264,0.8325392888093982,0.003567720944228192,3380.0,0.8357308151250146,
mattr,MATTR lexical diversity,conditional,Factual,4,30–39,77,53,0.8339305345139999,0.832832160133085,0.0010983743809148683,2100.0,0.7798384067317148,
mattr,MATTR lexical diversity,conditional,Factual,5,40–49,60,39,0.8438135984443424,0.8488473959330876,-0.0050337974887451065,1115.0,0.696325799078559,
mattr,MATTR lexical diversity,conditional,Factual,6,50–99,193,110,0.8283172406980355,0.8359928291204652,-0.007675588422429769,9939.0,0.35700010794677495,
mattr,MATTR lexical diversity,conditional,Factual,7,100+,255,303,0.830437482167306,0.8370023163282418,-0.006564834160935895,36487.5,0.25832060220255537,
empath_politeness,Empath: politeness,zero-filled,All,1,1–9,5538,4706,0.026108009003848257,0.0224626727799328,0.003645336223915458,13084098.5,0.17006435769590833,
empath_politeness,Empath: politeness,zero-filled,All,2,10–19,632,960,0.020824446228396312,0.016781036946859715,0.004043409281536597,308207.0,0.059972234461502544,*
empath_politeness,Empath: politeness,zero-filled,All,3,20–29,277,452,0.06252337805362569,0.02178454606252726,0.04073883199109843,64701.5,0.020094083552842604,**
empath_politeness,Empath: politeness,zero-filled,All,4,30–39,343,202,0.024951277258706953,0.02217570634462052,0.002775570914086433,33914.5,0.17334921740799758,
empath_politeness,Empath: politeness,zero-filled,All,5,40–49,321,198,0.00877763417249739,0.005082269046112021,0.00369536512638537,31991.0,0.5924962154185394,
empath_politeness,Empath: politeness,zero-filled,All,6,50–99,890,511,0.022742215602633824,0.03496336626685678,-0.012221150664222958,226502.0,0.6916524212019556,
