measure,label,content,stratum,tier,n_visible,n_hidden,mean_visible,mean_hidden,delta,U_stat,p_value,sig
mean_A2,A2 paraphrase,Subjective,5,40–49,181,111,0.030071033938437255,0.03743743743743743,-0.007366403499000175,9965.5,0.7797003957021498,
mean_A2,A2 paraphrase,Subjective,6,50–99,466,282,0.021088800326997753,0.03555949566587865,-0.014470695338880894,64650.5,0.33299768009243846,
mean_A2,A2 paraphrase,Subjective,7,100+,573,662,0.03144269924374636,0.0360451733563516,-0.00460247411260524,189347.0,0.901075810531594,
mean_A2,A2 paraphrase,Factual,1,1–9,2459,2079,0.018593666285817566,0.020958259847148736,-0.0023645935613311707,2543673.0,0.36944603667085163,
mean_A2,A2 paraphrase,Factual,2,10–19,272,436,0.023999183006535946,0.027349447188896727,-0.0033502641823607814,59523.0,0.8120890586874271,
mean_A2,A2 paraphrase,Factual,3,20–29,120,210,0.035416666666666666,0.028412698412698414,0.007003968253968252,12627.0,0.9372415326084712,
mean_A2,A2 paraphrase,Factual,4,30–39,161,88,0.021591245193729666,0.01845730027548209,0.003133944918247575,6996.5,0.6660889954794922,
mean_A2,A2 paraphrase,Factual,5,40–49,140,87,0.020782312925170066,0.014846743295019156,0.0059355696301509105,6030.5,0.7167662935024832,
mean_A2,A2 paraphrase,Factual,6,50–99,424,229,0.02443003144654088,0.03326055312954876,-0.00883052168300788,47535.0,0.23225632365960347,
mean_A2,A2 paraphrase,Factual,7,100+,494,577,0.04541160593792172,0.020314523970992964,0.025097081966928756,147544.5,0.011113914878389003,**
mean_A3,A3 clarification,All,1,1–9,5538,4706,0.06404126324900972,0.05597917659381747,0.008062086655192244,13156471.0,0.09307421010336503,*
mean_A3,A3 clarification,All,2,10–19,632,960,0.06132270946353224,0.05805620305620306,0.0032665064073291866,306301.0,0.5377895996184392,
mean_A3,A3 clarification,All,3,20–29,277,452,0.10252707581227437,0.07012119517650492,0.03240588063576945,65350.5,0.09867567675586007,*
mean_A3,A3 clarification,All,4,30–39,343,202,0.06371650701096765,0.06158865886588659,0.00212784814508106,34522.5,0.9050493231432263,
mean_A3,A3 clarification,All,5,40–49,321,198,0.08529149977748107,0.08479236812570147,0.0004991316517796024,31514.0,0.7815908548735292,
mean_A3,A3 clarification,All,6,50–99,890,511,0.07333333333333333,0.0659491193737769,0.007384213959556435,233741.5,0.11585578108158678,
mean_A3,A3 clarification,All,7,100+,1067,1239,0.07531321380899639,0.10389926782968155,-0.02858605402068516,646383.5,0.13437734449404534,
mean_A3,A3 clarification,Subjective,1,1–9,3079,2627,0.06440222294395728,0.05591470609076242,0.008487516853194862,4093759.5,0.1151363825550287,
mean_A3,A3 clarification,Subjective,2,10–19,360,524,0.06436838624338624,0.06834952579227388,-0.003981139548887638,94370.5,0.9809627444644073,
mean_A3,A3 clarification,Subjective,3,20–29,157,242,0.0959660297239915,0.07353214966851332,0.02243388005547818,19399.5,0.5628131554200644,
mean_A3,A3 clarification,Subjective,4,30–39,182,114,0.03779434850863422,0.06637426900584795,-0.028579920497213723,9955.0,0.27854952377108977,
mean_A3,A3 clarification,Subjective,5,40–49,181,111,0.1016574585635359,0.09794794794794795,0.003709510615587955,9927.5,0.7833116276924931,
mean_A3,A3 clarification,Subjective,6,50–99,466,282,0.07490036787247087,0.06400709219858156,0.010893275673889313,67701.5,0.21530961603336174,
mean_A3,A3 clarification,Subjective,7,100+,573,662,0.07602218898030416,0.10304218272496218,-0.027019993744658022,184106.0,0.14448914313228678,
mean_A3,A3 clarification,Factual,1,1–9,2459,2079,0.06358929297623889,0.05606064076482546,0.007528652211413425,2572434.5,0.453360687777173,
mean_A3,A3 clarification,Factual,2,10–19,272,436,0.057291666666666664,0.045685328942209676,0.011606337724456989,60448.5,0.3746714616592385,
mean_A3,A3 clarification,Factual,3,20–29,120,210,0.1111111111111111,0.06619047619047619,0.044920634920634916,13491.0,0.06779796906479826,*
mean_A3,A3 clarification,Factual,4,30–39,161,88,0.09301981662230109,0.055389118457300275,0.037630698165000816,7359.5,0.39631997887908876,
mean_A3,A3 clarification,Factual,5,40–49,140,87,0.06413265306122448,0.06800766283524903,-0.0038750097740245515,6070.0,0.9382897453333382,
mean_A3,A3 clarification,Factual,6,50–99,424,229,0.07161107367475293,0.06834061135371179,0.00327046232104114,49796.5,0.318302280027986,
mean_A3,A3 clarification,Factual,7,100+,494,577,0.07449086001717581,0.10488261330511348,-0.030391753287937667,140571.5,0.5315244203021152,
mean_B1,B1 extension,All,1,1–9,5538,4706,0.021385291807827018,0.02478952907129702,-0.0034042372634700037,12991063.5,0.37749005169382177,
mean_B1,B1 extension,All,2,10–19,632,960,0.020020218002812937,0.022962962962962963,-0.002942744960150026,300975.0,0.3925820651239694,
mean_B1,B1 extension,All,3,20–29,277,452,0.02135980746089049,0.033185840707964605,-0.011826033247074114,62411.0,0.8410323317287518,
mean_B1,B1 extension,All,4,30–39,343,202,0.025753158406219626,0.019801980198019802,0.005951178208199823,35284.5,0.2677083723044832,
mean_B1,B1 extension,All,5,40–49,321,198,0.01723779854620976,0.016835016835016835,0.00040278171119292536,31769.0,0.9831285006513053,
mean_B1,B1 extension,All,6,50–99,890,511,0.0150561797752809,0.02800608828006088,-0.01294990850477998,224760.5,0.2212396387846728,
mean_B1,B1 extension,All,7,100+,1067,1239,0.031712560063075525,0.02381272659723023,0.007899833465845295,668290.5,0.1975663605273532,
mean_B1,B1 extension,Subjective,1,1–9,3079,2627,0.02141027028977662,0.02293913631941801,-0.0015288660296413903,4044251.5,0.9993737349367886,
mean_B1,B1 extension,Subjective,2,10–19,360,524,0.01863425925925926,0.016825699745547075,0.0018085595137121852,93990.5,0.7540379213521604,
mean_B1,B1 extension,Subjective,3,20–29,157,242,0.03184713375796178,0.02066115702479339,0.011185976733168394,19484.0,0.17503453736621788,
mean_B1,B1 extension,Subjective,4,30–39,182,114,0.028846153846153848,0.03508771929824561,-0.006241565452091764,10422.0,0.8569785204088154,
mean_B1,B1 extension,Subjective,5,40–49,181,111,0.007366482504604051,0.018018018018018018,-0.010651535513413968,9884.5,0.30783319604308435,
mean_B1,B1 extension,Subjective,6,50–99,466,282,0.017399856938483546,0.03656422379826635,-0.019164366859782803,64530.0,0.2197309554518755,
mean_B1,B1 extension,Subjective,7,100+,573,662,0.02571954901797834,0.03168848606915072,-0.005968937051172383,187812.0,0.4114997450952239,
mean_B1,B1 extension,Factual,1,1–9,2459,2079,0.02135401537597552,0.027127663635600145,-0.005773648259624627,2538474.0,0.19338018118152833,
mean_B1,B1 extension,Factual,2,10–19,272,436,0.021854575163398695,0.030338939857288482,-0.008484364693889787,58538.5,0.40493366417363696,
mean_B1,B1 extension,Factual,3,20–29,120,210,0.007638888888888888,0.047619047619047616,-0.03998015873015873,12120.5,0.1226422832727995,
mean_B1,B1 extension,Factual,4,30–39,161,88,0.022256728778467908,0.0,0.022256728778467908,7348.0,0.06787358755023717,*
mean_B1,B1 extension,Factual,5,40–49,140,87,0.030000000000000002,0.01532567049808429,0.014674329501915712,6211.5,0.4310437378732924,
mean_B1,B1 extension,Factual,6,50–99,424,229,0.012480345911949684,0.017467248908296942,-0.004986902996347258,48399.0,0.7896194316209455,
mean_B1,B1 extension,Factual,7,100+,494,577,0.03866396761133604,0.014776759924073613,0.023887207687262425,147515.0,0.004398987077075204,***
mean_B2,B2 critique,All,1,1–9,5538,4706,0.2621839884163828,0.2535821414619757,0.008601846954407077,13164355.5,0.26210903136095387,
mean_B2,B2 critique,All,2,10–19,632,960,0.30620604781997185,0.29997956326081326,0.006226484559158585,306096.0,0.7169451808025475,
mean_B2,B2 critique,All,3,20–29,277,452,0.39412927625924016,0.3837520333648652,0.010377242894374972,63552.0,0.7002478650724969,
mean_B2,B2 critique,All,4,30–39,343,202,0.3251492433708177,0.3705895589558955,-0.04544031558507783,32704.0,0.2122738306279699,
mean_B2,B2 critique,All,5,40–49,321,198,0.29445927903871827,0.35907687991021325,-0.06461760087149498,29624.5,0.12350289661240187,
mean_B2,B2 critique,All,6,50–99,890,511,0.34219368646334936,0.3459230267449446,-0.003729340281595217,226848.0,0.9306021788086288,
mean_B2,B2 critique,All,7,100+,1067,1239,0.37245807925283086,0.3791912024160155,-0.00673312316318464,657165.0,0.7855408221847555,
mean_B2,B2 critique,Subjective,1,1–9,3079,2627,0.25426957835207264,0.24768252567548343,0.006587052676589211,4073840.0,0.5467406223364979,
mean_B2,B2 critique,Subjective,2,10–19,360,524,0.2964351851851852,0.30463364561647005,-0.00819846043128486,93715.0,0.8469391345291838,
mean_B2,B2 critique,Subjective,3,20–29,157,242,0.3776463451622687,0.4189638529514562,-0.041317507789187524,18193.5,0.42921179386619934,
mean_B2,B2 critique,Subjective,4,30–39,182,114,0.3080193615907902,0.32105263157894737,-0.013033269988157181,10135.0,0.6975329952709411,
mean_B2,B2 critique,Subjective,5,40–49,181,111,0.29675085503814785,0.34959959959959963,-0.05284874456145178,9469.0,0.33208766708553217,
mean_B2,B2 critique,Subjective,6,50–99,466,282,0.34582822399346,0.33439716312056744,0.011431060872892584,66794.0,0.6599335571206744,
mean_B2,B2 critique,Subjective,7,100+,573,662,0.36420468711044623,0.37060873626205953,-0.0064040491516133,187882.0,0.7463300176484308,
mean_B2,B2 critique,Factual,1,1–9,2459,2079,0.27209389837490694,0.2610368267294674,0.011057071645439565,2591281.0,0.3210909220487199,
mean_B2,B2 critique,Factual,2,10–19,272,436,0.31913807189542487,0.2943861248333725,0.02475194706205236,61009.0,0.4423475987631824,
mean_B2,B2 critique,Factual,3,20–29,120,210,0.4156944444444444,0.34317460317460313,0.07251984126984129,13607.5,0.17067996398419183,
mean_B2,B2 critique,Factual,4,30–39,161,88,0.34451345755693585,0.43476239669421496,-0.0902489391372791,6351.0,0.1313144880513708,
mean_B2,B2 critique,Factual,5,40–49,140,87,0.29149659863945576,0.3711685823754789,-0.07967198373602313,5601.5,0.22475902353254418,
mean_B2,B2 critique,Factual,6,50–99,424,229,0.3381991239892183,0.3601164483260553,-0.02191732433683702,47361.0,0.5479456191057179,
mean_B2,B2 critique,Factual,7,100+,494,577,0.38203134584713533,0.3890379833413516,-0.007006637494216261,142270.0,0.9559088662103298,
mean_C1,C1 acknowledgment,All,1,1–9,5538,4706,0.22391214679947075,0.22839386288971925,-0.0044817160902485,12983284.0,0.6827887769159005,
mean_C1,C1 acknowledgment,All,2,10–19,632,960,0.22604731766124175,0.2598510950854701,-0.033803777424228354,293258.5,0.16918127859240273,
mean_C1,C1 acknowledgment,All,3,20–29,277,452,0.36265257005329204,0.2882083808521861,0.07444418920110596,68055.5,0.024744802681491613,**
mean_C1,C1 acknowledgment,All,4,30–39,343,202,0.2666389004581424,0.3425292529252925,-0.07589035246715009,31630.0,0.048446532878111716,**
mean_C1,C1 acknowledgment,All,5,40–49,321,198,0.24754487464767838,0.261672278338945,-0.014127403691266638,31730.0,0.9710447899604638,
mean_C1,C1 acknowledgment,All,6,50–99,890,511,0.2665382557517389,0.30812133072407044,-0.041583074972331546,219633.5,0.20532596123647429,
mean_C1,C1 acknowledgment,All,7,100+,1067,1239,0.3195212940761207,0.31363785372628405,0.005883440349836622,663140.0,0.8771271327605076,
mean_C1,C1 acknowledgment,Subjective,1,1–9,3079,2627,0.2268712270011393,0.21762302589767377,0.009248201103465525,4091996.0,0.32234608671632814,
mean_C1,C1 acknowledgment,Subjective,2,10–19,360,524,0.22438492063492063,0.2684637404580153,-0.04407881982309467,90199.0,0.1792726959472274,
mean_C1,C1 acknowledgment,Subjective,3,20–29,157,242,0.3623445556566575,0.2878244689195102,0.07452008673714733,20812.0,0.06893570146048092,*
mean_C1,C1 acknowledgment,Subjective,4,30–39,182,114,0.2611590790162219,0.335233918128655,-0.07407483911243312,9542.0,0.17409547810272452,
mean_C1,C1 acknowledgment,Subjective,5,40–49,181,111,0.2460405156537753,0.2235235235235235,0.022516992130251795,10435.5,0.485790370499657,
mean_C1,C1 acknowledgment,Subjective,6,50–99,466,282,0.28196403024729205,0.30189125295508273,-0.01992722270779068,65072.0,0.7934622145902143,
mean_C1,C1 acknowledgment,Subjective,7,100+,573,662,0.30919346796310143,0.3214070462937532,-0.012213578330651786,186106.0,0.5106637755547312,
mean_C1,C1 acknowledgment,Factual,1,1–9,2459,2079,0.22020697886903662,0.24200376610189023,-0.02179678723285361,2496991.0,0.08706594925602976,*
mean_C1,C1 acknowledgment,Factual,2,10–19,272,436,0.22824754901960784,0.24950011761938368,-0.02125256859977584,58070.5,0.5694920117963366,
mean_C1,C1 acknowledgment,Factual,3,20–29,120,210,0.3630555555555556,0.2886507936507936,0.07440476190476197,13558.0,0.18768616234125213,
mean_C1,C1 acknowledgment,Factual,4,30–39,161,88,0.27283348121857437,0.3519800275482094,-0.07914654632963503,6401.0,0.1471795595039807,
mean_C1,C1 acknowledgment,Factual,5,40–49,140,87,0.2494897959183673,0.3103448275862069,-0.06085503166783959,5778.5,0.4268380758662744,
mean_C1,C1 acknowledgment,Factual,6,50–99,424,229,0.24958445642407906,0.3157933042212518,-0.06620884779717273,45509.5,0.11398310369200988,
mean_C1,C1 acknowledgment,Factual,7,100+,494,577,0.3315007361059992,0.3047241527216661,0.02677658338433314,146601.0,0.35019650143058834,
mean_C2,C2 hedging,All,1,1–9,5538,4706,0.20932186293101784,0.21144975727158044,-0.002127894340562597,13012527.0,0.8717824347365273,
mean_C2,C2 hedging,All,2,10–19,632,960,0.22750904159132007,0.2571553070771821,-0.029646265485862022,293164.0,0.16069718058365456,
mean_C2,C2 hedging,All,3,20–29,277,452,0.3238782877772048,0.2684684415879106,0.055409846189294176,66600.0,0.09463879928291952,*
mean_C2,C2 hedging,All,4,30–39,343,202,0.2585728168818548,0.3115436543654366,-0.05297083748358178,32029.0,0.08574338832596,*
mean_C2,C2 hedging,All,5,40–49,321,198,0.2769915442812639,0.2694023569023569,0.007589187378906959,32254.5,0.7277798112986111,
mean_C2,C2 hedging,All,6,50–99,890,511,0.29010299625468167,0.2997608175690367,-0.009657821314355053,225536.5,0.762997435032795,
mean_C2,C2 hedging,All,7,100+,1067,1239,0.3130020583394529,0.3076366731567279,0.005365385182725002,666082.0,0.712601258467233,
mean_C2,C2 hedging,Subjective,1,1–9,3079,2627,0.21002554426555728,0.21060797627699038,-0.0005824320114330983,4038006.0,0.8947922390024955,
mean_C2,C2 hedging,Subjective,2,10–19,360,524,0.2271825396825397,0.2592831945408281,-0.03210065485828839,90747.0,0.24071062849623615,
mean_C2,C2 hedging,Subjective,3,20–29,157,242,0.3075219896875947,0.3017812765746649,0.005740713112929785,19118.5,0.9034916779432017,
mean_C2,C2 hedging,Subjective,4,30–39,182,114,0.24841705913134485,0.2771929824561403,-0.028775923324795477,9874.5,0.4076709812519814,
mean_C2,C2 hedging,Subjective,5,40–49,181,111,0.27863720073664827,0.23843843843843843,0.040198762298209845,10581.5,0.3497196360138517,
mean_C2,C2 hedging,Subjective,6,50–99,466,282,0.2978183118741059,0.27858550039401103,0.01923281148009487,67498.0,0.45704144349743825,
mean_C2,C2 hedging,Subjective,7,100+,573,662,0.3259778664228926,0.29945173574327655,0.026526130679616067,194793.5,0.3437712576271781,
mean_C2,C2 hedging,Factual,1,1–9,2459,2079,0.20844075889317856,0.21251342185685618,-0.004072662963677615,2552830.0,0.9217905431071488,
mean_C2,C2 hedging,Factual,2,10–19,272,436,0.22794117647058823,0.25459793774013956,-0.026656761269551327,57598.5,0.423778650576364,
mean_C2,C2 hedging,Factual,3,20–29,120,210,0.34527777777777774,0.23007936507936505,0.11519841269841269,14197.5,0.022338051206456464,**
mean_C2,C2 hedging,Factual,4,30–39,161,88,0.27005323868677905,0.35604338842975203,-0.08599014974297298,6279.0,0.08998664434130736,*
mean_C2,C2 hedging,Factual,5,40–49,140,87,0.27486394557823124,0.3089080459770115,-0.03404410039878025,5884.0,0.6058797559203928,
mean_C2,C2 hedging,Factual,6,50–99,424,229,0.28162342767295595,0.32583697234352255,-0.044213544670566596,46078.5,0.20668519854635203,
mean_C2,C2 hedging,Factual,7,100+,494,577,0.29795117163538215,0.3170273639153151,-0.019076192279932958,140504.5,0.6429677763837824,
mean_C3,C3 warmth,All,1,1–9,5538,4706,0.061306270021058755,0.06017782095130161,0.001128449069757148,13043010.0,0.8640535443446847,
mean_C3,C3 warmth,All,2,10–19,632,960,0.04878691983122362,0.05534054487179487,-0.006553625040571248,300756.0,0.5323911486511843,
mean_C3,C3 warmth,All,3,20–29,277,452,0.10563004985387657,0.05428249847497635,0.05134755137890022,66909.5,0.004015132181443957,***
mean_C3,C3 warmth,All,4,30–39,343,202,0.07316395946133555,0.05630813081308131,0.016855828648254245,35320.5,0.4656333801363257,
mean_C3,C3 warmth,All,5,40–49,321,198,0.07946892152499628,0.06425364758698092,0.015215273938015361,32656.5,0.2834814172910134,
mean_C3,C3 warmth,All,6,50–99,890,511,0.07411048689138576,0.09112850619699935,-0.017018019305613585,222936.0,0.2584226307261823,
mean_C3,C3 warmth,All,7,100+,1067,1239,0.0859177529749226,0.06597632666429382,0.019941426310628785,677878.0,0.04982709391646,**
mean_C3,C3 warmth,Subjective,1,1–9,3079,2627,0.06567917845930188,0.06398873722817384,0.0016904412311280342,4056893.0,0.6751848510106886,
mean_C3,C3 warmth,Subjective,2,10–19,360,524,0.052083333333333336,0.05241730279898219,-0.0003339694656488562,94355.5,0.9841129526151554,
mean_C3,C3 warmth,Subjective,3,20–29,157,242,0.09772520473157414,0.06185546547116795,0.035869739260406194,19920.5,0.14277155419932397,
mean_C3,C3 warmth,Subjective,4,30–39,182,114,0.06416797488226059,0.05921052631578947,0.004957448566471116,10570.0,0.5848198537636741,
mean_C3,C3 warmth,Subjective,5,40–49,181,111,0.07555906340436727,0.06056056056056056,0.014998502843806709,10310.5,0.4444145228052867,
mean_C3,C3 warmth,Subjective,6,50–99,466,282,0.07607296137339056,0.0817966903073286,-0.005723728933938035,65128.5,0.7039561827012133,
mean_C3,C3 warmth,Subjective,7,100+,573,662,0.08571844095404303,0.07310099266292619,0.012617448291116842,193270.5,0.28811593164752025,
mean_C3,C3 warmth,Factual,1,1–9,2459,2079,0.055830798251497726,0.05536239187032838,0.0004684063811693437,2551497.5,0.817925799255635,
mean_C3,C3 warmth,Factual,2,10–19,272,436,0.04442401960784313,0.05885379910609268,-0.01442977949824955,58104.0,0.3238042307264868,
mean_C3,C3 warmth,Factual,3,20–29,120,210,0.11597222222222223,0.04555555555555556,0.07041666666666667,13767.0,0.007182063307246518,***
mean_C3,C3 warmth,Factual,4,30–39,161,88,0.08333333333333333,0.05254820936639118,0.03078512396694215,7224.5,0.6384198952941217,
mean_C3,C3 warmth,Factual,5,40–49,140,87,0.08452380952380953,0.06896551724137931,0.01555829228243022,6267.0,0.4551817270740427,
mean_C3,C3 warmth,Factual,6,50–99,424,229,0.07195361635220125,0.10262008733624454,-0.030666470984043293,46935.0,0.2052943739709393,
mean_C3,C3 warmth,Factual,7,100+,494,577,0.08614893878051773,0.057802099816642805,0.028346838963874924,147233.5,0.0808945041213238,*
mean_representational,Representational composite,All,1,1–9,5538,4706,0.1312268554346019,0.12397584383081621,0.007251011603785704,13126882.0,0.2989963933339007,
mean_representational,Representational composite,All,2,10–19,632,960,0.1624384669479606,0.1529832985301735,0.009455168417787096,305950.0,0.6725306233679677,
mean_representational,Representational composite,All,3,20–29,277,452,0.2014784253051401,0.1485287942146349,0.052949631090505184,66886.5,0.03319827128068391,**
mean_representational,Representational composite,All,4,30–39,343,202,0.1404414827155352,0.17284728472847288,-0.03240580201293769,33079.5,0.2105777525194078,
mean_representational,Representational composite,All,5,40–49,321,198,0.16172674677347573,0.1730499438832772,-0.01132319710980148,31225.5,0.6237532742479152,
mean_representational,Representational composite,All,6,50–99,890,511,0.16219101123595506,0.17455968688845402,-0.012368675652498967,226735.0,0.8952066941096469,
