method,status,quartile,coef,se,p,sig,n,adj_r2
AIPW,Low Status,Q2,0.002969660771245452,0.01631717170115695,0.8555858270066177,,10244,0.0035694500708384203
AIPW,Low Status,Q3,0.005120381881997838,0.01605347560437409,0.74975848406828,,10244,0.0035694500708384203
AIPW,Low Status,Q4,0.043857369456133666,0.018744279975147295,0.019295438192022982,**,10244,0.0035694500708384203
AIPW,Mid Status,Q2,-0.0404387911978641,0.03279035208252709,0.2174814881414684,,2866,0.004327805006434815
AIPW,Mid Status,Q3,-0.021698311837064665,0.032735798054920474,0.5074385999339853,,2866,0.004327805006434815
AIPW,Mid Status,Q4,-0.04114666175954827,0.03859581721473787,0.28638240938576176,,2866,0.004327805006434815
AIPW,High Status,Q2,-0.0566784490764686,0.02872383210115087,0.04847046672577839,**,4226,0.0033144389882935332
AIPW,High Status,Q3,-0.006679227077577129,0.02857165624039292,0.8151626985215329,,4226,0.0033144389882935332
AIPW,High Status,Q4,-0.019548697577121542,0.0321708470701514,0.543417933237207,,4226,0.0033144389882935332
