sample,var,N_C,N_T,mean_C,mean_T,t_stat,p
"Original 17,336",comment_karma,6707,6276,54321.50111823468,60895.74474187381,3.8327144481271254,0.00012742999499023634
"Original 17,336",link_karma,6707,6276,6036.931265841658,5948.967017208413,-0.26141642151184313,0.7937757218200232
"Original 17,336",tenure_i,9068,8268,6.9267290839211375,6.885640309574454,-0.5570431310305618,0.577505170118675
"Original 17,336",gold,6707,6276,0.05292977486208439,0.06293817718291905,2.4364510379497526,0.014845816781972459
"Original 17,336",num_cmv_post,9068,8268,0.10553595059550067,0.13159167876149008,3.581848427868364,0.000342242095863855
"Original 17,336",num_cmv_comments,9068,8268,121.28528892809881,131.32982583454282,3.718878938956075,0.00020079539986689963
"Original 17,336",average_comment_length,9068,8268,85.83451628481293,91.18800008639506,4.645834852271145,3.4133214967628197e-06
"Matched 12,802",comment_karma,4468,4468,41316.64973142346,42684.232766338406,1.05835624222337,0.28992171081099344
"Matched 12,802",link_karma,4468,4468,4385.889659803044,4530.7985675917635,0.4944921151775567,0.6209709755876895
"Matched 12,802",tenure_i,6401,6401,6.13253031608559,6.233254311213999,1.2032448732752874,0.22890383283159688
"Matched 12,802",gold,4468,4468,0.01432408236347359,0.01432408236347359,0.0,1.0
"Matched 12,802",num_cmv_post,6401,6401,0.03483830651460709,0.03483830651460709,0.0,1.0
"Matched 12,802",num_cmv_comments,6401,6401,82.31276363068271,81.53382284018122,-0.37554944306378363,0.7072581075943771
"Matched 12,802",average_comment_length,6401,6401,79.9785457902288,78.17432683439083,-1.561686973377239,0.11838663216217324
