status,quartile,coef,se,p,sig,n,adj_r2
Low Status,Q2,0.002969660771245452,0.01604404608316543,0.8531551068997886,,10244,0.0035694500708384203
Low Status,Q3,0.005120381881997838,0.016174122814588427,0.7515633418842148,,10244,0.0035694500708384203
Low Status,Q4,0.043857369456133666,0.018381734596504395,0.017036403068964107,**,10244,0.0035694500708384203
Mid Status,Q2,-0.0404387911978641,0.03139201263500786,0.19768078064622163,,2866,0.004327805006434815
Mid Status,Q3,-0.021698311837064665,0.02968489865354224,0.46480691258594964,,2866,0.004327805006434815
Mid Status,Q4,-0.04114666175954827,0.03880136367846023,0.2889427891269035,,2866,0.004327805006434815
High Status,Q2,-0.0566784490764686,0.02744167020843376,0.03888370983951241,**,4226,0.0033144389882935332
High Status,Q3,-0.006679227077577129,0.02915744472192983,0.8188110123962808,,4226,0.0033144389882935332
High Status,Q4,-0.019548697577121542,0.027450213509506712,0.4763712629057374,,4226,0.0033144389882935332
