status,quartile,coef,se,p,sig,n,adj_r2
Low Status,Q2,0.006044431234950642,0.018057333716662963,0.7378245943666204,,8509,0.0034412318576986234
Low Status,Q3,-0.004492495534185983,0.017778058334752454,0.8005009088931678,,8509,0.0034412318576986234
Low Status,Q4,0.040671423167846096,0.020233548145004217,0.044420773213030285,**,8509,0.0034412318576986234
Mid Status,Q2,-0.07153170967753283,0.03907034695880124,0.0671238332236546,*,2174,-0.0003347662950305974
Mid Status,Q3,-0.015294793581316708,0.0357616139501926,0.668878686034843,,2174,-0.0003347662950305974
Mid Status,Q4,-0.039681887009189655,0.04025562380667686,0.3242569550978629,,2174,-0.0003347662950305974
High Status,Q2,-0.10909074802423417,0.039916207435205665,0.006276151093354408,***,2119,0.0051252339101964806
High Status,Q3,-0.021453928396462124,0.040222574144867386,0.5937703562253074,,2119,0.0051252339101964806
High Status,Q4,-0.0884103973537457,0.04839967429493018,0.06774889077892532,*,2119,0.0051252339101964806
