method,status,quartile,coef,se,p,sig,n,adj_r2
IPTW,Low Status,Q2,0.0032751932418347597,0.016103726950882195,0.8388371934203808,,10244,0.0035564389210002156
IPTW,Low Status,Q3,0.006005015752045063,0.016206272292064994,0.7109827701664795,,10244,0.0035564389210002156
IPTW,Low Status,Q4,0.04423929099006478,0.018382069732202334,0.016099392278913317,**,10244,0.0035564389210002156
IPTW,Mid Status,Q2,-0.041989698038248445,0.031337438189614944,0.18027096231974515,,2866,0.0044853051231388275
IPTW,Mid Status,Q3,-0.02436312131835329,0.02969239566470514,0.41192132873602216,,2866,0.0044853051231388275
IPTW,Mid Status,Q4,-0.04192860878328038,0.03863183902355313,0.2777719140063575,,2866,0.0044853051231388275
IPTW,High Status,Q2,-0.056446646108091365,0.027411669123759853,0.03947320715808833,**,4226,0.0032838608299519123
IPTW,High Status,Q3,-0.006886754746059785,0.029071008320111866,0.8127388299886695,,4226,0.0032838608299519123
IPTW,High Status,Q4,-0.018110032841175128,0.027401334372307053,0.5086649550279126,,4226,0.0032838608299519123
